Expansion[0.0739]  Contingency[0.0080]  Comparison[0.0102]  Temporal[0.9080]  Temporal
Expansion[0.9855]  Contingency[0.0013]  Comparison[0.0106]  Temporal[0.0027]  Expansion
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0067]  Contingency[0.0149]  Comparison[0.9683]  Temporal[0.0100]  Comparison
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.9859]  Contingency[0.0047]  Comparison[0.0047]  Temporal[0.0047]  Expansion
Expansion[0.9898]  Contingency[0.0009]  Comparison[0.0074]  Temporal[0.0019]  Expansion
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.0298]  Contingency[0.0003]  Comparison[0.9693]  Temporal[0.0006]  Comparison
Expansion[0.8371]  Contingency[0.0019]  Comparison[0.0144]  Temporal[0.1465]  Expansion
Expansion[0.9730]  Contingency[0.0072]  Comparison[0.0036]  Temporal[0.0162]  Expansion
Expansion[0.9944]  Contingency[0.0005]  Comparison[0.0041]  Temporal[0.0010]  Expansion
Expansion[0.9844]  Contingency[0.0024]  Comparison[0.0072]  Temporal[0.0060]  Expansion
Expansion[0.8371]  Contingency[0.0019]  Comparison[0.0144]  Temporal[0.1465]  Expansion
Expansion[0.0052]  Contingency[0.6970]  Comparison[0.0154]  Temporal[0.2824]  Contingency
Expansion[0.0063]  Contingency[0.0394]  Comparison[0.9279]  Temporal[0.0264]  Comparison
Expansion[0.0003]  Contingency[0.1450]  Comparison[0.0010]  Temporal[0.8537]  Temporal
Expansion[0.0087]  Contingency[0.9860]  Comparison[0.0029]  Temporal[0.0024]  Contingency
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0099]  Contingency[0.0126]  Comparison[0.9454]  Temporal[0.0321]  Comparison
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0003]  Contingency[0.1450]  Comparison[0.0010]  Temporal[0.8537]  Temporal
Expansion[0.9709]  Contingency[0.0216]  Comparison[0.0039]  Temporal[0.0036]  Expansion
Expansion[0.0002]  Contingency[0.2285]  Comparison[0.0008]  Temporal[0.7705]  Temporal
Expansion[0.0052]  Contingency[0.6970]  Comparison[0.0154]  Temporal[0.2824]  Contingency
Expansion[0.0003]  Contingency[0.1450]  Comparison[0.0010]  Temporal[0.8537]  Temporal
Expansion[0.0003]  Contingency[0.1450]  Comparison[0.0010]  Temporal[0.8537]  Temporal
Expansion[0.0038]  Contingency[0.8748]  Comparison[0.0113]  Temporal[0.1101]  Contingency
Expansion[0.0785]  Contingency[0.8740]  Comparison[0.0259]  Temporal[0.0216]  Contingency
Expansion[0.0064]  Contingency[0.0402]  Comparison[0.0189]  Temporal[0.9346]  Temporal
Expansion[0.0003]  Contingency[0.1450]  Comparison[0.0010]  Temporal[0.8537]  Temporal
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0003]  Contingency[0.1450]  Comparison[0.0010]  Temporal[0.8537]  Temporal
Expansion[0.9849]  Contingency[0.0023]  Comparison[0.0070]  Temporal[0.0058]  Expansion
Expansion[0.0022]  Contingency[0.0140]  Comparison[0.9743]  Temporal[0.0094]  Comparison
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.8371]  Contingency[0.0019]  Comparison[0.0144]  Temporal[0.1465]  Expansion
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.9849]  Contingency[0.0023]  Comparison[0.0070]  Temporal[0.0058]  Expansion
Expansion[0.0038]  Contingency[0.8748]  Comparison[0.0113]  Temporal[0.1101]  Contingency
Expansion[0.4968]  Contingency[0.0198]  Comparison[0.4800]  Temporal[0.0033]  Expansion
Expansion[0.0007]  Contingency[0.9577]  Comparison[0.0020]  Temporal[0.0396]  Contingency
Expansion[0.9719]  Contingency[0.0181]  Comparison[0.0033]  Temporal[0.0066]  Expansion
Expansion[0.0099]  Contingency[0.0126]  Comparison[0.9454]  Temporal[0.0321]  Comparison
Expansion[0.0038]  Contingency[0.8748]  Comparison[0.0113]  Temporal[0.1101]  Contingency
Expansion[0.8346]  Contingency[0.0041]  Comparison[0.1508]  Temporal[0.0105]  Expansion
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0785]  Contingency[0.8740]  Comparison[0.0259]  Temporal[0.0216]  Contingency
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0172]  Contingency[0.9724]  Comparison[0.0057]  Temporal[0.0047]  Contingency
Expansion[0.0100]  Contingency[0.3668]  Comparison[0.0294]  Temporal[0.5938]  Temporal
Expansion[0.0038]  Contingency[0.8748]  Comparison[0.0113]  Temporal[0.1101]  Contingency
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
