none[0.2896]  arg1_node[0.0515]  arg2_node[0.6589]  arg2_node
none[0.3471]  arg1_node[0.6406]  arg2_node[0.0124]  arg1_node
none[0.9981]  arg1_node[0.0006]  arg2_node[0.0013]  none
none[0.9981]  arg1_node[0.0006]  arg2_node[0.0013]  none
none[0.9981]  arg1_node[0.0006]  arg2_node[0.0013]  none
none[0.9975]  arg1_node[0.0008]  arg2_node[0.0018]  none
none[0.9975]  arg1_node[0.0008]  arg2_node[0.0018]  none
none[0.9975]  arg1_node[0.0008]  arg2_node[0.0018]  none
none[0.9975]  arg1_node[0.0008]  arg2_node[0.0018]  none
none[0.9975]  arg1_node[0.0008]  arg2_node[0.0018]  none
none[0.9975]  arg1_node[0.0008]  arg2_node[0.0018]  none
none[0.9975]  arg1_node[0.0008]  arg2_node[0.0018]  none
none[0.9975]  arg1_node[0.0008]  arg2_node[0.0018]  none
none[0.9975]  arg1_node[0.0008]  arg2_node[0.0018]  none
none[0.9975]  arg1_node[0.0008]  arg2_node[0.0018]  none
none[0.9981]  arg1_node[0.0006]  arg2_node[0.0013]  none
none[0.9981]  arg1_node[0.0006]  arg2_node[0.0013]  none
none[0.9981]  arg1_node[0.0006]  arg2_node[0.0013]  none
none[0.7055]  arg1_node[0.1667]  arg2_node[0.1278]  none
none[0.9981]  arg1_node[0.0006]  arg2_node[0.0013]  none
none[0.7462]  arg1_node[0.0319]  arg2_node[0.2220]  none
none[0.9836]  arg1_node[0.0157]  arg2_node[0.0008]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.9925]  arg1_node[0.0000]  arg2_node[0.0075]  none
none[0.0593]  arg1_node[0.9287]  arg2_node[0.0120]  arg1_node
none[0.6785]  arg1_node[0.0098]  arg2_node[0.3117]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0008]  none
none[0.9950]  arg1_node[0.0004]  arg2_node[0.0046]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0008]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.9936]  arg1_node[0.0001]  arg2_node[0.0064]  none
none[0.1043]  arg1_node[0.8953]  arg2_node[0.0003]  arg1_node
none[0.9986]  arg1_node[0.0005]  arg2_node[0.0009]  none
none[0.0728]  arg1_node[0.0011]  arg2_node[0.9261]  arg2_node
none[0.9975]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9686]  arg1_node[0.0002]  arg2_node[0.0312]  none
none[0.9975]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9975]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9719]  arg1_node[0.0256]  arg2_node[0.0025]  none
none[0.9962]  arg1_node[0.0014]  arg2_node[0.0023]  none
none[0.9893]  arg1_node[0.0083]  arg2_node[0.0024]  none
none[0.9975]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9975]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9975]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9975]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9968]  arg1_node[0.0002]  arg2_node[0.0030]  none
none[0.9968]  arg1_node[0.0002]  arg2_node[0.0030]  none
none[0.9962]  arg1_node[0.0014]  arg2_node[0.0023]  none
none[0.9975]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9975]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9975]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9975]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9975]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9962]  arg1_node[0.0014]  arg2_node[0.0023]  none
none[0.9975]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9975]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.0601]  arg1_node[0.9301]  arg2_node[0.0099]  arg1_node
none[0.9985]  arg1_node[0.0009]  arg2_node[0.0007]  none
none[0.9984]  arg1_node[0.0009]  arg2_node[0.0007]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.9973]  arg1_node[0.0015]  arg2_node[0.0012]  none
none[0.3830]  arg1_node[0.0002]  arg2_node[0.6167]  arg2_node
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9841]  arg1_node[0.0000]  arg2_node[0.0159]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9969]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.1146]  arg1_node[0.8850]  arg2_node[0.0004]  arg1_node
none[0.9986]  arg1_node[0.0004]  arg2_node[0.0010]  none
none[0.0650]  arg1_node[0.0009]  arg2_node[0.9341]  arg2_node
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9648]  arg1_node[0.0002]  arg2_node[0.0351]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9973]  arg1_node[0.0002]  arg2_node[0.0025]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9741]  arg1_node[0.0231]  arg2_node[0.0028]  none
none[0.9961]  arg1_node[0.0013]  arg2_node[0.0026]  none
