0[0.8866]  1[0.1134]  0
0[0.9999]  1[0.0001]  0
0[0.9998]  1[0.0002]  0
0[0.9934]  1[0.0066]  0
0[0.9958]  1[0.0042]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.8030]  1[0.1970]  0
0[0.9981]  1[0.0019]  0
0[1.0000]  1[0.0000]  0
0[0.9969]  1[0.0031]  0
0[0.9994]  1[0.0006]  0
0[0.0135]  1[0.9865]  1
0[0.0198]  1[0.9802]  1
0[0.9999]  1[0.0001]  0
0[0.0078]  1[0.9922]  1
0[0.9972]  1[0.0028]  0
0[0.9985]  1[0.0015]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9998]  1[0.0002]  0
0[0.9966]  1[0.0034]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.0404]  1[0.9596]  1
0[0.0117]  1[0.9883]  1
0[0.9999]  1[0.0001]  0
0[0.0025]  1[0.9975]  1
0[0.9997]  1[0.0003]  0
0[0.9996]  1[0.0004]  0
0[0.9999]  1[0.0001]  0
0[0.9995]  1[0.0005]  0
0[0.0077]  1[0.9923]  1
0[0.9988]  1[0.0012]  0
0[0.0528]  1[0.9472]  1
0[0.9994]  1[0.0006]  0
0[0.9996]  1[0.0004]  0
0[0.9995]  1[0.0005]  0
0[0.9999]  1[0.0001]  0
0[0.8664]  1[0.1336]  0
0[0.9995]  1[0.0005]  0
0[0.0208]  1[0.9792]  1
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.0075]  1[0.9925]  1
0[0.0115]  1[0.9885]  1
0[0.9998]  1[0.0002]  0
0[0.9890]  1[0.0110]  0
0[0.0106]  1[0.9894]  1
0[0.0232]  1[0.9768]  1
0[0.0365]  1[0.9635]  1
0[0.9968]  1[0.0032]  0
0[0.9999]  1[0.0001]  0
0[0.9996]  1[0.0004]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.0311]  1[0.9689]  1
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.0763]  1[0.9237]  1
0[1.0000]  1[0.0000]  0
0[0.0327]  1[0.9673]  1
0[1.0000]  1[0.0000]  0
0[0.9998]  1[0.0002]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.3954]  1[0.6046]  1
0[0.9999]  1[0.0001]  0
0[0.9979]  1[0.0021]  0
0[0.9954]  1[0.0046]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.2972]  1[0.7028]  1
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9959]  1[0.0041]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9990]  1[0.0010]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9996]  1[0.0004]  0
0[0.0495]  1[0.9505]  1
0[0.9968]  1[0.0032]  0
0[0.3246]  1[0.6754]  1
0[0.3672]  1[0.6328]  1
0[0.9736]  1[0.0264]  0
0[0.9992]  1[0.0008]  0
0[0.9995]  1[0.0005]  0
