none[0.0438]  arg1_node[0.9484]  arg2_node[0.0078]  arg1_node
none[0.9981]  arg1_node[0.0012]  arg2_node[0.0007]  none
none[0.5607]  arg1_node[0.0199]  arg2_node[0.4194]  none
none[0.9980]  arg1_node[0.0012]  arg2_node[0.0008]  none
none[0.9980]  arg1_node[0.0012]  arg2_node[0.0008]  none
none[0.9980]  arg1_node[0.0012]  arg2_node[0.0008]  none
none[0.9980]  arg1_node[0.0012]  arg2_node[0.0008]  none
none[0.9980]  arg1_node[0.0012]  arg2_node[0.0008]  none
none[0.9966]  arg1_node[0.0021]  arg2_node[0.0013]  none
none[0.9966]  arg1_node[0.0021]  arg2_node[0.0013]  none
none[0.9966]  arg1_node[0.0021]  arg2_node[0.0013]  none
none[0.9966]  arg1_node[0.0021]  arg2_node[0.0013]  none
none[0.9966]  arg1_node[0.0021]  arg2_node[0.0013]  none
none[0.9980]  arg1_node[0.0012]  arg2_node[0.0008]  none
none[0.3636]  arg1_node[0.0003]  arg2_node[0.6361]  arg2_node
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9827]  arg1_node[0.0000]  arg2_node[0.0173]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9943]  arg1_node[0.0001]  arg2_node[0.0056]  none
none[0.9943]  arg1_node[0.0001]  arg2_node[0.0056]  none
none[0.9943]  arg1_node[0.0001]  arg2_node[0.0056]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.1043]  arg1_node[0.8953]  arg2_node[0.0003]  arg1_node
none[0.9986]  arg1_node[0.0005]  arg2_node[0.0009]  none
none[0.0728]  arg1_node[0.0011]  arg2_node[0.9261]  arg2_node
none[0.9975]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9975]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0002]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0002]  arg2_node[0.0023]  none
