PS[0.9659]  SS[0.0341]  PS
PS[0.9706]  SS[0.0294]  PS
PS[0.0105]  SS[0.9895]  SS
PS[0.7862]  SS[0.2138]  PS
PS[0.0040]  SS[0.9960]  SS
PS[0.9706]  SS[0.0294]  PS
PS[0.9917]  SS[0.0083]  PS
PS[0.9720]  SS[0.0280]  PS
PS[0.9308]  SS[0.0692]  PS
PS[0.9917]  SS[0.0083]  PS
PS[0.9706]  SS[0.0294]  PS
PS[0.9720]  SS[0.0280]  PS
PS[0.9707]  SS[0.0293]  PS
PS[0.0003]  SS[0.9997]  SS
PS[0.6688]  SS[0.3312]  PS
PS[0.9956]  SS[0.0044]  PS
PS[0.9720]  SS[0.0280]  PS
PS[0.9535]  SS[0.0465]  PS
PS[0.9707]  SS[0.0293]  PS
PS[0.9707]  SS[0.0293]  PS
PS[0.0068]  SS[0.9932]  SS
PS[0.0108]  SS[0.9892]  SS
PS[0.9852]  SS[0.0148]  PS
PS[0.0001]  SS[0.9999]  SS
PS[0.0105]  SS[0.9895]  SS
PS[0.1736]  SS[0.8264]  SS
PS[0.0105]  SS[0.9895]  SS
PS[0.0045]  SS[0.9955]  SS
PS[0.0249]  SS[0.9751]  SS
PS[0.9706]  SS[0.0294]  PS
PS[0.9917]  SS[0.0083]  PS
PS[0.0000]  SS[1.0000]  SS
PS[0.0001]  SS[0.9999]  SS
PS[0.9699]  SS[0.0301]  PS
PS[0.9706]  SS[0.0294]  PS
PS[0.9709]  SS[0.0291]  PS
PS[0.9720]  SS[0.0280]  PS
PS[0.9917]  SS[0.0083]  PS
PS[0.9707]  SS[0.0293]  PS
PS[0.9917]  SS[0.0083]  PS
PS[0.9720]  SS[0.0280]  PS
PS[0.0000]  SS[1.0000]  SS
PS[0.9917]  SS[0.0083]  PS
PS[0.0105]  SS[0.9895]  SS
PS[0.9706]  SS[0.0294]  PS
PS[0.0001]  SS[0.9999]  SS
PS[0.0105]  SS[0.9895]  SS
PS[0.9917]  SS[0.0083]  PS
PS[0.9707]  SS[0.0293]  PS
PS[0.0045]  SS[0.9955]  SS
PS[0.9524]  SS[0.0476]  PS
PS[0.9709]  SS[0.0291]  PS
PS[0.0000]  SS[1.0000]  SS
PS[0.0045]  SS[0.9955]  SS
PS[0.9308]  SS[0.0692]  PS
PS[0.9706]  SS[0.0294]  PS
PS[0.0000]  SS[1.0000]  SS
PS[0.0105]  SS[0.9895]  SS
PS[0.0105]  SS[0.9895]  SS
PS[0.9917]  SS[0.0083]  PS
PS[0.9706]  SS[0.0294]  PS
PS[0.9706]  SS[0.0294]  PS
PS[0.9869]  SS[0.0131]  PS
PS[0.9720]  SS[0.0280]  PS
PS[0.0918]  SS[0.9082]  SS
PS[0.9727]  SS[0.0273]  PS
PS[0.9917]  SS[0.0083]  PS
PS[0.0000]  SS[1.0000]  SS
PS[0.9971]  SS[0.0029]  PS
PS[0.9720]  SS[0.0280]  PS
PS[0.0105]  SS[0.9895]  SS
PS[0.9707]  SS[0.0293]  PS
PS[0.9479]  SS[0.0521]  PS
PS[0.9706]  SS[0.0294]  PS
PS[0.0105]  SS[0.9895]  SS
PS[0.9917]  SS[0.0083]  PS
PS[0.2095]  SS[0.7905]  SS
PS[0.0119]  SS[0.9881]  SS
PS[0.9709]  SS[0.0291]  PS
PS[0.9720]  SS[0.0280]  PS
PS[0.9704]  SS[0.0296]  PS
PS[0.0004]  SS[0.9996]  SS
PS[0.9917]  SS[0.0083]  PS
PS[0.9917]  SS[0.0083]  PS
PS[0.9706]  SS[0.0294]  PS
PS[0.9956]  SS[0.0044]  PS
PS[0.0003]  SS[0.9997]  SS
PS[0.0168]  SS[0.9832]  SS
PS[0.0000]  SS[1.0000]  SS
PS[0.0168]  SS[0.9832]  SS
PS[0.0000]  SS[1.0000]  SS
PS[0.0000]  SS[1.0000]  SS
