Expansion[0.2888]  Contingency[0.1178]  Comparison[0.0073]  Temporal[0.5861]  Temporal
Expansion[0.0195]  Contingency[0.9687]  Comparison[0.0064]  Temporal[0.0054]  Contingency
Expansion[0.0067]  Contingency[0.0149]  Comparison[0.9683]  Temporal[0.0100]  Comparison
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.9901]  Contingency[0.0074]  Comparison[0.0013]  Temporal[0.0012]  Expansion
Expansion[0.0195]  Contingency[0.9687]  Comparison[0.0064]  Temporal[0.0054]  Contingency
Expansion[0.9910]  Contingency[0.0008]  Comparison[0.0066]  Temporal[0.0017]  Expansion
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.9910]  Contingency[0.0008]  Comparison[0.0066]  Temporal[0.0017]  Expansion
Expansion[0.0172]  Contingency[0.9724]  Comparison[0.0057]  Temporal[0.0047]  Contingency
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.0180]  Contingency[0.9711]  Comparison[0.0059]  Temporal[0.0049]  Contingency
Expansion[0.0003]  Contingency[0.0073]  Comparison[0.9875]  Temporal[0.0049]  Comparison
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.9670]  Contingency[0.0081]  Comparison[0.0248]  Temporal[0.0002]  Expansion
Expansion[0.9849]  Contingency[0.0023]  Comparison[0.0070]  Temporal[0.0058]  Expansion
Expansion[0.0180]  Contingency[0.9711]  Comparison[0.0059]  Temporal[0.0049]  Contingency
Expansion[0.4968]  Contingency[0.0198]  Comparison[0.4800]  Temporal[0.0033]  Expansion
Expansion[0.0002]  Contingency[0.2168]  Comparison[0.0213]  Temporal[0.7617]  Temporal
Expansion[0.0122]  Contingency[0.0013]  Comparison[0.0017]  Temporal[0.9847]  Temporal
Expansion[0.0011]  Contingency[0.0071]  Comparison[0.9871]  Temporal[0.0047]  Comparison
Expansion[0.0052]  Contingency[0.6970]  Comparison[0.0154]  Temporal[0.2824]  Contingency
Expansion[0.0432]  Contingency[0.0047]  Comparison[0.9402]  Temporal[0.0119]  Comparison
Expansion[0.0067]  Contingency[0.0149]  Comparison[0.9683]  Temporal[0.0100]  Comparison
Expansion[0.0002]  Contingency[0.2589]  Comparison[0.0009]  Temporal[0.7399]  Temporal
