none[0.1146]  arg1_node[0.8850]  arg2_node[0.0004]  arg1_node
none[0.9986]  arg1_node[0.0004]  arg2_node[0.0010]  none
none[0.0650]  arg1_node[0.0009]  arg2_node[0.9341]  arg2_node
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9648]  arg1_node[0.0002]  arg2_node[0.0351]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9741]  arg1_node[0.0231]  arg2_node[0.0028]  none
none[0.9961]  arg1_node[0.0013]  arg2_node[0.0026]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.9973]  arg1_node[0.0001]  arg2_node[0.0026]  none
none[0.4764]  arg1_node[0.5208]  arg2_node[0.0029]  arg1_node
none[0.9985]  arg1_node[0.0009]  arg2_node[0.0006]  none
none[0.9985]  arg1_node[0.0009]  arg2_node[0.0006]  none
none[0.9985]  arg1_node[0.0009]  arg2_node[0.0006]  none
none[0.9985]  arg1_node[0.0009]  arg2_node[0.0006]  none
none[0.9120]  arg1_node[0.0868]  arg2_node[0.0012]  none
none[0.9723]  arg1_node[0.0254]  arg2_node[0.0023]  none
none[0.9974]  arg1_node[0.0020]  arg2_node[0.0006]  none
none[0.9959]  arg1_node[0.0035]  arg2_node[0.0006]  none
none[0.9985]  arg1_node[0.0009]  arg2_node[0.0006]  none
none[0.9990]  arg1_node[0.0001]  arg2_node[0.0009]  none
none[0.0688]  arg1_node[0.0003]  arg2_node[0.9309]  arg2_node
none[0.9975]  arg1_node[0.0000]  arg2_node[0.0024]  none
none[0.9669]  arg1_node[0.0000]  arg2_node[0.0331]  none
none[0.9975]  arg1_node[0.0000]  arg2_node[0.0024]  none
none[0.9975]  arg1_node[0.0000]  arg2_node[0.0024]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9975]  arg1_node[0.0000]  arg2_node[0.0024]  none
none[0.9967]  arg1_node[0.0001]  arg2_node[0.0032]  none
none[0.9729]  arg1_node[0.0256]  arg2_node[0.0015]  none
none[0.9977]  arg1_node[0.0006]  arg2_node[0.0017]  none
none[0.9977]  arg1_node[0.0006]  arg2_node[0.0017]  none
none[0.9977]  arg1_node[0.0006]  arg2_node[0.0017]  none
none[0.9977]  arg1_node[0.0006]  arg2_node[0.0017]  none
none[0.9977]  arg1_node[0.0006]  arg2_node[0.0017]  none
none[0.9977]  arg1_node[0.0006]  arg2_node[0.0017]  none
none[0.9977]  arg1_node[0.0006]  arg2_node[0.0017]  none
none[0.9977]  arg1_node[0.0006]  arg2_node[0.0017]  none
none[0.9977]  arg1_node[0.0006]  arg2_node[0.0017]  none
none[0.9977]  arg1_node[0.0006]  arg2_node[0.0017]  none
none[0.9977]  arg1_node[0.0006]  arg2_node[0.0017]  none
none[0.9977]  arg1_node[0.0006]  arg2_node[0.0017]  none
none[0.9729]  arg1_node[0.0256]  arg2_node[0.0015]  none
none[0.9977]  arg1_node[0.0006]  arg2_node[0.0017]  none
none[0.9977]  arg1_node[0.0006]  arg2_node[0.0017]  none
none[0.9977]  arg1_node[0.0006]  arg2_node[0.0017]  none
none[0.9729]  arg1_node[0.0256]  arg2_node[0.0015]  none
none[0.9977]  arg1_node[0.0006]  arg2_node[0.0017]  none
none[0.9977]  arg1_node[0.0006]  arg2_node[0.0017]  none
none[0.9729]  arg1_node[0.0256]  arg2_node[0.0015]  none
none[0.9977]  arg1_node[0.0006]  arg2_node[0.0017]  none
none[0.1273]  arg1_node[0.8725]  arg2_node[0.0002]  arg1_node
none[0.9851]  arg1_node[0.0141]  arg2_node[0.0008]  none
none[0.9851]  arg1_node[0.0141]  arg2_node[0.0008]  none
none[0.9983]  arg1_node[0.0005]  arg2_node[0.0013]  none
none[0.1996]  arg1_node[0.0053]  arg2_node[0.7952]  arg2_node
none[0.9983]  arg1_node[0.0005]  arg2_node[0.0013]  none
none[0.7805]  arg1_node[0.0329]  arg2_node[0.1865]  none
none[0.9866]  arg1_node[0.0127]  arg2_node[0.0007]  none
none[0.9866]  arg1_node[0.0127]  arg2_node[0.0007]  none
none[0.9949]  arg1_node[0.0000]  arg2_node[0.0051]  none
