none[0.4488]  arg1_node[0.5462]  arg2_node[0.0050]  arg1_node
none[0.9980]  arg1_node[0.0010]  arg2_node[0.0010]  none
none[0.9980]  arg1_node[0.0010]  arg2_node[0.0010]  none
none[0.9023]  arg1_node[0.0955]  arg2_node[0.0022]  none
none[0.9676]  arg1_node[0.0281]  arg2_node[0.0043]  none
none[0.9950]  arg1_node[0.0039]  arg2_node[0.0011]  none
none[0.9980]  arg1_node[0.0010]  arg2_node[0.0010]  none
none[0.9950]  arg1_node[0.0039]  arg2_node[0.0011]  none
none[0.9980]  arg1_node[0.0010]  arg2_node[0.0010]  none
none[0.9980]  arg1_node[0.0010]  arg2_node[0.0010]  none
none[0.9980]  arg1_node[0.0010]  arg2_node[0.0010]  none
none[0.9980]  arg1_node[0.0010]  arg2_node[0.0010]  none
none[0.9980]  arg1_node[0.0010]  arg2_node[0.0010]  none
none[0.9980]  arg1_node[0.0010]  arg2_node[0.0010]  none
none[0.9980]  arg1_node[0.0010]  arg2_node[0.0010]  none
none[0.9982]  arg1_node[0.0001]  arg2_node[0.0017]  none
none[0.0388]  arg1_node[0.0002]  arg2_node[0.9611]  arg2_node
none[0.9955]  arg1_node[0.0000]  arg2_node[0.0045]  none
none[0.9409]  arg1_node[0.0001]  arg2_node[0.0590]  none
none[0.9978]  arg1_node[0.0001]  arg2_node[0.0022]  none
none[0.9955]  arg1_node[0.0000]  arg2_node[0.0045]  none
none[0.9955]  arg1_node[0.0000]  arg2_node[0.0045]  none
none[0.1624]  arg1_node[0.8367]  arg2_node[0.0009]  arg1_node
none[0.9981]  arg1_node[0.0003]  arg2_node[0.0016]  none
none[0.0407]  arg1_node[0.0004]  arg2_node[0.9590]  arg2_node
none[0.9957]  arg1_node[0.0001]  arg2_node[0.0043]  none
none[0.9436]  arg1_node[0.0001]  arg2_node[0.0563]  none
none[0.9978]  arg1_node[0.0001]  arg2_node[0.0021]  none
none[0.9957]  arg1_node[0.0001]  arg2_node[0.0042]  none
none[0.9957]  arg1_node[0.0001]  arg2_node[0.0043]  none
none[0.9956]  arg1_node[0.0001]  arg2_node[0.0043]  none
none[0.9957]  arg1_node[0.0001]  arg2_node[0.0043]  none
none[0.9956]  arg1_node[0.0001]  arg2_node[0.0043]  none
none[0.9978]  arg1_node[0.0001]  arg2_node[0.0021]  none
none[0.9957]  arg1_node[0.0001]  arg2_node[0.0042]  none
none[0.9957]  arg1_node[0.0001]  arg2_node[0.0043]  none
none[0.9957]  arg1_node[0.0001]  arg2_node[0.0043]  none
none[0.9957]  arg1_node[0.0001]  arg2_node[0.0043]  none
none[0.9957]  arg1_node[0.0001]  arg2_node[0.0043]  none
none[0.9957]  arg1_node[0.0001]  arg2_node[0.0042]  none
none[0.9956]  arg1_node[0.0001]  arg2_node[0.0043]  none
none[0.9956]  arg1_node[0.0001]  arg2_node[0.0043]  none
none[0.9957]  arg1_node[0.0001]  arg2_node[0.0042]  none
none[0.9957]  arg1_node[0.0001]  arg2_node[0.0042]  none
none[0.9957]  arg1_node[0.0001]  arg2_node[0.0042]  none
none[0.9798]  arg1_node[0.0155]  arg2_node[0.0046]  none
none[0.9957]  arg1_node[0.0001]  arg2_node[0.0043]  none
none[0.9957]  arg1_node[0.0001]  arg2_node[0.0042]  none
none[0.9943]  arg1_node[0.0001]  arg2_node[0.0056]  none
none[0.2355]  arg1_node[0.7635]  arg2_node[0.0010]  arg1_node
none[0.9979]  arg1_node[0.0013]  arg2_node[0.0007]  none
none[0.9987]  arg1_node[0.0002]  arg2_node[0.0012]  none
none[0.0552]  arg1_node[0.0003]  arg2_node[0.9445]  arg2_node
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9584]  arg1_node[0.0001]  arg2_node[0.0415]  none
none[0.9984]  arg1_node[0.0001]  arg2_node[0.0015]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9868]  arg1_node[0.0098]  arg2_node[0.0034]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9959]  arg1_node[0.0001]  arg2_node[0.0041]  none
none[0.9959]  arg1_node[0.0001]  arg2_node[0.0041]  none
none[0.9959]  arg1_node[0.0001]  arg2_node[0.0041]  none
none[0.9959]  arg1_node[0.0001]  arg2_node[0.0041]  none
none[0.9959]  arg1_node[0.0001]  arg2_node[0.0041]  none
none[0.9959]  arg1_node[0.0001]  arg2_node[0.0041]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9969]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9968]  arg1_node[0.0001]  arg2_node[0.0031]  none
none[0.9959]  arg1_node[0.0001]  arg2_node[0.0041]  none
none[0.9959]  arg1_node[0.0001]  arg2_node[0.0041]  none
none[0.0593]  arg1_node[0.9287]  arg2_node[0.0120]  arg1_node
none[0.6785]  arg1_node[0.0098]  arg2_node[0.3117]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0008]  none
none[0.9950]  arg1_node[0.0004]  arg2_node[0.0046]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0008]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0009]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0009]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0009]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0009]  none
none[0.9983]  arg1_node[0.0009]  arg2_node[0.0009]  none
none[0.3359]  arg1_node[0.0002]  arg2_node[0.6638]  arg2_node
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9805]  arg1_node[0.0000]  arg2_node[0.0195]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0036]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0037]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0037]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0037]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0037]  none
none[0.9963]  arg1_node[0.0000]  arg2_node[0.0037]  none
none[0.6627]  arg1_node[0.0327]  arg2_node[0.3045]  none
none[0.2249]  arg1_node[0.7512]  arg2_node[0.0238]  arg1_node
none[0.9980]  arg1_node[0.0007]  arg2_node[0.0014]  none
none[0.9980]  arg1_node[0.0007]  arg2_node[0.0014]  none
none[0.9980]  arg1_node[0.0007]  arg2_node[0.0014]  none
none[0.9980]  arg1_node[0.0007]  arg2_node[0.0014]  none
none[0.9980]  arg1_node[0.0007]  arg2_node[0.0014]  none
none[0.9980]  arg1_node[0.0007]  arg2_node[0.0014]  none
none[0.9973]  arg1_node[0.0009]  arg2_node[0.0018]  none
none[0.9973]  arg1_node[0.0009]  arg2_node[0.0018]  none
none[0.5802]  arg1_node[0.0630]  arg2_node[0.3568]  none
none[0.9814]  arg1_node[0.0178]  arg2_node[0.0008]  none
none[0.9942]  arg1_node[0.0000]  arg2_node[0.0057]  none
none[0.9070]  arg1_node[0.0000]  arg2_node[0.0930]  none
none[0.9943]  arg1_node[0.0000]  arg2_node[0.0057]  none
none[0.9942]  arg1_node[0.0000]  arg2_node[0.0057]  none
none[0.9942]  arg1_node[0.0000]  arg2_node[0.0057]  none
none[0.9941]  arg1_node[0.0000]  arg2_node[0.0058]  none
none[0.9942]  arg1_node[0.0000]  arg2_node[0.0058]  none
none[0.9942]  arg1_node[0.0000]  arg2_node[0.0058]  none
none[0.9442]  arg1_node[0.0527]  arg2_node[0.0031]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9442]  arg1_node[0.0527]  arg2_node[0.0031]  none
none[0.9442]  arg1_node[0.0527]  arg2_node[0.0031]  none
none[0.9442]  arg1_node[0.0527]  arg2_node[0.0031]  none
none[0.9722]  arg1_node[0.0262]  arg2_node[0.0016]  none
none[0.9962]  arg1_node[0.0010]  arg2_node[0.0028]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9729]  arg1_node[0.0255]  arg2_node[0.0015]  none
none[0.5642]  arg1_node[0.3981]  arg2_node[0.0377]  none
none[0.7331]  arg1_node[0.1387]  arg2_node[0.1282]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0028]  none
none[0.9871]  arg1_node[0.0075]  arg2_node[0.0053]  none
none[0.5680]  arg1_node[0.0047]  arg2_node[0.4273]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0117]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0117]  none
none[0.9769]  arg1_node[0.0003]  arg2_node[0.0228]  none
none[0.9604]  arg1_node[0.0378]  arg2_node[0.0019]  none
