Expansion[0.0122]  Contingency[0.0013]  Comparison[0.0017]  Temporal[0.9847]  Temporal
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.0180]  Contingency[0.9711]  Comparison[0.0059]  Temporal[0.0049]  Contingency
Expansion[0.0002]  Contingency[0.2476]  Comparison[0.0008]  Temporal[0.7514]  Temporal
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.9670]  Contingency[0.0081]  Comparison[0.0248]  Temporal[0.0002]  Expansion
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0008]  Contingency[0.0054]  Comparison[0.9799]  Temporal[0.0138]  Comparison
Expansion[0.0308]  Contingency[0.0003]  Comparison[0.9683]  Temporal[0.0006]  Comparison
Expansion[0.0785]  Contingency[0.8740]  Comparison[0.0259]  Temporal[0.0216]  Contingency
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0308]  Contingency[0.0003]  Comparison[0.9683]  Temporal[0.0006]  Comparison
Expansion[0.0895]  Contingency[0.0122]  Comparison[0.0374]  Temporal[0.8609]  Temporal
Expansion[0.0003]  Contingency[0.9583]  Comparison[0.0021]  Temporal[0.0393]  Contingency
Expansion[0.9369]  Contingency[0.0463]  Comparison[0.0092]  Temporal[0.0076]  Expansion
Expansion[0.1760]  Contingency[0.0167]  Comparison[0.6248]  Temporal[0.1826]  Comparison
Expansion[0.0003]  Contingency[0.1450]  Comparison[0.0010]  Temporal[0.8537]  Temporal
Expansion[0.0785]  Contingency[0.8740]  Comparison[0.0259]  Temporal[0.0216]  Contingency
Expansion[0.0041]  Contingency[0.0227]  Comparison[0.8552]  Temporal[0.1181]  Comparison
Expansion[0.9069]  Contingency[0.0765]  Comparison[0.0079]  Temporal[0.0087]  Expansion
Expansion[0.0001]  Contingency[0.4915]  Comparison[0.0130]  Temporal[0.4954]  Temporal
Expansion[0.0041]  Contingency[0.0227]  Comparison[0.8552]  Temporal[0.1181]  Comparison
Expansion[0.9904]  Contingency[0.0023]  Comparison[0.0072]  Temporal[0.0001]  Expansion
Expansion[0.0407]  Contingency[0.0536]  Comparison[0.4258]  Temporal[0.4798]  Temporal
Expansion[0.0004]  Contingency[0.9966]  Comparison[0.0012]  Temporal[0.0017]  Contingency
Expansion[0.1760]  Contingency[0.0167]  Comparison[0.6248]  Temporal[0.1826]  Comparison
Expansion[0.0308]  Contingency[0.0003]  Comparison[0.9683]  Temporal[0.0006]  Comparison
Expansion[0.0003]  Contingency[0.0073]  Comparison[0.9875]  Temporal[0.0049]  Comparison
Expansion[0.0180]  Contingency[0.9711]  Comparison[0.0059]  Temporal[0.0049]  Contingency
Expansion[0.0785]  Contingency[0.8740]  Comparison[0.0259]  Temporal[0.0216]  Contingency
Expansion[0.0003]  Contingency[0.9583]  Comparison[0.0021]  Temporal[0.0393]  Contingency
